image_id,article_slug,pin_variant,pin_type,pin_id,source_signature,article_title,exact_prompt,priority
manual-b02-001-budget-front-yard-ideas-with-simple-wood-edging-c,budget-front-yard-ideas-with-simple-wood-edging,C,C,budget-front-yard-ideas-with-simple-wood-edging-c,manual-batch-02:budget-front-yard-ideas-with-simple-wood-edging-c,Budget Front Yard Ideas With Simple Wood Edging,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Ideas With Simple Wood Edging"". Pin type C: three-quarter entry-angle composition from the walkway or driveway edge, with depth through the front yard and a fresh perspective distinct from a wide hero or close detail view. Exact title match requirement: the image must visually communicate ""Budget Front Yard Ideas With Simple Wood Edging"" immediately, not a generic yard. Required visual element: a clearly visible front yard landscape and USA home exterior matching the article title. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. Use realistic front yard landscaping, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, portrait 2:3, crisp DSLR architectural-garden photography, morning side light, crisp mulch and plant texture, natural color, editorial depth. Keep the composition ready for later overlay space, but do not add overlay content. Source uniqueness: create a unique source image for budget-front-yard-ideas-with-simple-wood-edging-c only, with source_signature manual-batch-02:budget-front-yard-ideas-with-simple-wood-edging-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",1
manual-b02-002-budget-front-yard-ideas-with-small-evergreens-c,budget-front-yard-ideas-with-small-evergreens,C,C,budget-front-yard-ideas-with-small-evergreens-c,manual-batch-02:budget-front-yard-ideas-with-small-evergreens-c,Budget Front Yard Ideas With Small Evergreens,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Ideas With Small Evergreens"". Pin type C: three-quarter entry-angle composition from the walkway or driveway edge, with depth through the front yard and a fresh perspective distinct from a wide hero or close detail view. Exact title match requirement: the image must visually communicate ""Budget Front Yard Ideas With Small Evergreens"" immediately, not a generic yard. Required visual element: a clearly visible small compact front yard in front of a USA home exterior. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. Use realistic front yard landscaping, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, portrait 2:3, crisp DSLR architectural-garden photography, soft late-afternoon light, clean path lines, layered shrubs, realistic curb appeal. Keep the composition ready for later overlay space, but do not add overlay content. Source uniqueness: create a unique source image for budget-front-yard-ideas-with-small-evergreens-c only, with source_signature manual-batch-02:budget-front-yard-ideas-with-small-evergreens-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",2
manual-b02-003-budget-front-yard-ideas-with-solar-path-lights-c,budget-front-yard-ideas-with-solar-path-lights,C,C,budget-front-yard-ideas-with-solar-path-lights-c,manual-batch-02:budget-front-yard-ideas-with-solar-path-lights-c,Budget Front Yard Ideas With Solar Path Lights,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Ideas With Solar Path Lights"". Pin type C: three-quarter entry-angle composition from the walkway or driveway edge, with depth through the front yard and a fresh perspective distinct from a wide hero or close detail view. Exact title match requirement: the image must visually communicate ""Budget Front Yard Ideas With Solar Path Lights"" immediately, not a generic yard. Required visual element: clearly visible outdoor path lighting or warm front yard landscape lighting. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. Use realistic front yard landscaping, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, portrait 2:3, crisp DSLR architectural-garden photography, bright overcast daylight, balanced shadows, detailed soil and stone texture. Keep the composition ready for later overlay space, but do not add overlay content. Source uniqueness: create a unique source image for budget-front-yard-ideas-with-solar-path-lights-c only, with source_signature manual-batch-02:budget-front-yard-ideas-with-solar-path-lights-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",3
manual-b02-004-budget-front-yard-lawn-refresh-ideas-c,budget-front-yard-lawn-refresh-ideas,C,C,budget-front-yard-lawn-refresh-ideas-c,manual-batch-02:budget-front-yard-lawn-refresh-ideas-c,Budget Front Yard Lawn Refresh Ideas,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Lawn Refresh Ideas"". Pin type C: three-quarter entry-angle composition from the walkway or driveway edge, with depth through the front yard and a fresh perspective distinct from a wide hero or close detail view. Exact title match requirement: the image must visually communicate ""Budget Front Yard Lawn Refresh Ideas"" immediately, not a generic yard. Required visual element: a clearly visible clean front lawn or lawn stripes with front yard landscaping. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. Use realistic front yard landscaping, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, portrait 2:3, crisp DSLR architectural-garden photography, street-level DSLR framing, natural lens perspective, clear foreground landscaping. Keep the composition ready for later overlay space, but do not add overlay content. Source uniqueness: create a unique source image for budget-front-yard-lawn-refresh-ideas-c only, with source_signature manual-batch-02:budget-front-yard-lawn-refresh-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",4
manual-b02-005-budget-front-yard-lighting-ideas-c,budget-front-yard-lighting-ideas,C,C,budget-front-yard-lighting-ideas-c,manual-batch-02:budget-front-yard-lighting-ideas-c,Budget Front Yard Lighting Ideas,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Lighting Ideas"". Pin type C: three-quarter entry-angle composition from the walkway or driveway edge, with depth through the front yard and a fresh perspective distinct from a wide hero or close detail view. Exact title match requirement: the image must visually communicate ""Budget Front Yard Lighting Ideas"" immediately, not a generic yard. Required visual element: clearly visible outdoor path lighting or warm front yard landscape lighting. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. Use realistic front yard landscaping, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, portrait 2:3, crisp DSLR architectural-garden photography, slightly elevated porch-facing angle, tidy edges, believable suburban scale. Keep the composition ready for later overlay space, but do not add overlay content. Source uniqueness: create a unique source image for budget-front-yard-lighting-ideas-c only, with source_signature manual-batch-02:budget-front-yard-lighting-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",5
manual-b02-006-budget-front-yard-mailbox-makeover-ideas-c,budget-front-yard-mailbox-makeover-ideas,C,C,budget-front-yard-mailbox-makeover-ideas-c,manual-batch-02:budget-front-yard-mailbox-makeover-ideas-c,Budget Front Yard Mailbox Makeover Ideas,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Mailbox Makeover Ideas"". Pin type C: three-quarter entry-angle composition from the walkway or driveway edge, with depth through the front yard and a fresh perspective distinct from a wide hero or close detail view. Exact title match requirement: the image must visually communicate ""Budget Front Yard Mailbox Makeover Ideas"" immediately, not a generic yard. Required visual element: a clearly visible mailbox with a planted mailbox flower bed. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. Use realistic front yard landscaping, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, portrait 2:3, crisp DSLR architectural-garden photography, low garden-bed viewpoint, strong foreground material texture, natural planting rhythm. Keep the composition ready for later overlay space, but do not add overlay content. Source uniqueness: create a unique source image for budget-front-yard-mailbox-makeover-ideas-c only, with source_signature manual-batch-02:budget-front-yard-mailbox-makeover-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",6
manual-b02-007-budget-front-yard-mulch-makeover-ideas-c,budget-front-yard-mulch-makeover-ideas,C,C,budget-front-yard-mulch-makeover-ideas-c,manual-batch-02:budget-front-yard-mulch-makeover-ideas-c,Budget Front Yard Mulch Makeover Ideas,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Mulch Makeover Ideas"". Pin type C: three-quarter entry-angle composition from the walkway or driveway edge, with depth through the front yard and a fresh perspective distinct from a wide hero or close detail view. Exact title match requirement: the image must visually communicate ""Budget Front Yard Mulch Makeover Ideas"" immediately, not a generic yard. Required visual element: clearly visible low-maintenance front yard landscaping with gravel, shrubs, mulch, or minimal lawn. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. Use realistic front yard landscaping, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, portrait 2:3, crisp DSLR architectural-garden photography, diagonal walkway-led composition, visible facade context, polished but lived-in yard. Keep the composition ready for later overlay space, but do not add overlay content. Source uniqueness: create a unique source image for budget-front-yard-mulch-makeover-ideas-c only, with source_signature manual-batch-02:budget-front-yard-mulch-makeover-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",7
manual-b02-008-budget-front-yard-planter-and-container-ideas-c,budget-front-yard-planter-and-container-ideas,C,C,budget-front-yard-planter-and-container-ideas-c,manual-batch-02:budget-front-yard-planter-and-container-ideas-c,Budget Front Yard Planter and Container Ideas,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Planter and Container Ideas"". Pin type C: three-quarter entry-angle composition from the walkway or driveway edge, with depth through the front yard and a fresh perspective distinct from a wide hero or close detail view. Exact title match requirement: the image must visually communicate ""Budget Front Yard Planter and Container Ideas"" immediately, not a generic yard. Required visual element: clearly visible front porch planters or container plantings. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. Use realistic front yard landscaping, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, portrait 2:3, crisp DSLR architectural-garden photography, front-corner perspective, layered planting depth, realistic American neighborhood feel. Keep the composition ready for later overlay space, but do not add overlay content. Source uniqueness: create a unique source image for budget-front-yard-planter-and-container-ideas-c only, with source_signature manual-batch-02:budget-front-yard-planter-and-container-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",8
manual-b02-009-budget-front-yard-plants-that-look-expensive-c,budget-front-yard-plants-that-look-expensive,C,C,budget-front-yard-plants-that-look-expensive-c,manual-batch-02:budget-front-yard-plants-that-look-expensive-c,Budget Front Yard Plants That Look Expensive,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Plants That Look Expensive"". Pin type C: three-quarter entry-angle composition from the walkway or driveway edge, with depth through the front yard and a fresh perspective distinct from a wide hero or close detail view. Exact title match requirement: the image must visually communicate ""Budget Front Yard Plants That Look Expensive"" immediately, not a generic yard. Required visual element: a clearly visible front yard landscape and USA home exterior matching the article title. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. Use realistic front yard landscaping, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, portrait 2:3, crisp DSLR architectural-garden photography, clean editorial framing, true-to-life plant scale, no staged showroom look. Keep the composition ready for later overlay space, but do not add overlay content. Source uniqueness: create a unique source image for budget-front-yard-plants-that-look-expensive-c only, with source_signature manual-batch-02:budget-front-yard-plants-that-look-expensive-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",9
manual-b02-010-budget-front-yard-porch-planter-ideas-c,budget-front-yard-porch-planter-ideas,C,C,budget-front-yard-porch-planter-ideas-c,manual-batch-02:budget-front-yard-porch-planter-ideas-c,Budget Front Yard Porch Planter Ideas,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Porch Planter Ideas"". Pin type C: three-quarter entry-angle composition from the walkway or driveway edge, with depth through the front yard and a fresh perspective distinct from a wide hero or close detail view. Exact title match requirement: the image must visually communicate ""Budget Front Yard Porch Planter Ideas"" immediately, not a generic yard. Required visual element: clearly visible front porch planters or container plantings. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. Use realistic front yard landscaping, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, portrait 2:3, crisp DSLR architectural-garden photography, natural daylight with sharp detail, practical curb appeal, real materials and plants. Keep the composition ready for later overlay space, but do not add overlay content. Source uniqueness: create a unique source image for budget-front-yard-porch-planter-ideas-c only, with source_signature manual-batch-02:budget-front-yard-porch-planter-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",10
