image_id,article_slug,category,pin_variant,pin_type,pin_id,source_signature,article_title,required_visual_element,exact_prompt,priority
manual-b04-001-front-walkway-ideas-with-porch-landing-planting-c,front-walkway-ideas-with-porch-landing-planting,Walkway Landscaping Ideas,C,C,front-walkway-ideas-with-porch-landing-planting-c,manual-batch-04:front-walkway-ideas-with-porch-landing-planting-c,Front Walkway Ideas With Porch Landing Planting,a clearly visible front walkway or entry path,"Create one realistic professional photography image for the exact article title: ""Front Walkway Ideas With Porch Landing Planting"". Article slug: front-walkway-ideas-with-porch-landing-planting. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible front walkway or entry path. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, natural morning side light, real plant scale, crisp mulch texture, clean editorial depth. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-ideas-with-porch-landing-planting-c only, with source_signature manual-batch-04:front-walkway-ideas-with-porch-landing-planting-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",1
manual-b04-002-front-walkway-ideas-with-side-garden-beds-c,front-walkway-ideas-with-side-garden-beds,Walkway Landscaping Ideas,C,C,front-walkway-ideas-with-side-garden-beds-c,manual-batch-04:front-walkway-ideas-with-side-garden-beds-c,Front Walkway Ideas With Side Garden Beds,a clearly visible front walkway or entry path,"Create one realistic professional photography image for the exact article title: ""Front Walkway Ideas With Side Garden Beds"". Article slug: front-walkway-ideas-with-side-garden-beds. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible front walkway or entry path. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, soft bright overcast daylight, realistic stone and soil texture, practical curb appeal. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-ideas-with-side-garden-beds-c only, with source_signature manual-batch-04:front-walkway-ideas-with-side-garden-beds-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",2
manual-b04-003-front-walkway-ideas-with-soft-curbside-planting-c,front-walkway-ideas-with-soft-curbside-planting,Walkway Landscaping Ideas,C,C,front-walkway-ideas-with-soft-curbside-planting-c,manual-batch-04:front-walkway-ideas-with-soft-curbside-planting-c,Front Walkway Ideas With Soft Curbside Planting,a clearly visible front walkway or entry path,"Create one realistic professional photography image for the exact article title: ""Front Walkway Ideas With Soft Curbside Planting"". Article slug: front-walkway-ideas-with-soft-curbside-planting. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible front walkway or entry path. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, street-level DSLR framing, layered shrubs, clean walkway movement, believable suburban setting. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-ideas-with-soft-curbside-planting-c only, with source_signature manual-batch-04:front-walkway-ideas-with-soft-curbside-planting-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",3
manual-b04-004-front-walkway-ideas-with-stepping-stones-and-grass-c,front-walkway-ideas-with-stepping-stones-and-grass,Walkway Landscaping Ideas,C,C,front-walkway-ideas-with-stepping-stones-and-grass-c,manual-batch-04:front-walkway-ideas-with-stepping-stones-and-grass-c,Front Walkway Ideas With Stepping Stones and Grass,a clearly visible front lawn or grass area with landscaping context,"Create one realistic professional photography image for the exact article title: ""Front Walkway Ideas With Stepping Stones and Grass"". Article slug: front-walkway-ideas-with-stepping-stones-and-grass. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible front lawn or grass area with landscaping context. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, front-corner composition, strong foreground landscaping, visible facade context, natural color. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-ideas-with-stepping-stones-and-grass-c only, with source_signature manual-batch-04:front-walkway-ideas-with-stepping-stones-and-grass-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",4
manual-b04-005-front-walkway-ideas-with-stone-and-moss-c,front-walkway-ideas-with-stone-and-moss,Walkway Landscaping Ideas,C,C,front-walkway-ideas-with-stone-and-moss-c,manual-batch-04:front-walkway-ideas-with-stone-and-moss-c,Front Walkway Ideas With Stone and Moss,"clearly visible rock, boulder, stone, or gravel landscaping in the front yard","Create one realistic professional photography image for the exact article title: ""Front Walkway Ideas With Stone and Moss"". Article slug: front-walkway-ideas-with-stone-and-moss. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: clearly visible rock, boulder, stone, or gravel landscaping in the front yard. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, low garden-bed perspective, tactile mulch and planting detail, polished but realistic yard. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-ideas-with-stone-and-moss-c only, with source_signature manual-batch-04:front-walkway-ideas-with-stone-and-moss-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",5
manual-b04-006-front-walkway-ideas-with-wide-paver-steps-c,front-walkway-ideas-with-wide-paver-steps,Walkway Landscaping Ideas,C,C,front-walkway-ideas-with-wide-paver-steps-c,manual-batch-04:front-walkway-ideas-with-wide-paver-steps-c,Front Walkway Ideas With Wide Paver Steps,a clearly visible front walkway or entry path,"Create one realistic professional photography image for the exact article title: ""Front Walkway Ideas With Wide Paver Steps"". Article slug: front-walkway-ideas-with-wide-paver-steps. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible front walkway or entry path. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, balanced architectural-garden framing, landscaping stronger than the house, clear negative space. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-ideas-with-wide-paver-steps-c only, with source_signature manual-batch-04:front-walkway-ideas-with-wide-paver-steps-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",6
manual-b04-007-front-walkway-landscaping-with-boxwoods-c,front-walkway-landscaping-with-boxwoods,Walkway Landscaping Ideas,C,C,front-walkway-landscaping-with-boxwoods-c,manual-batch-04:front-walkway-landscaping-with-boxwoods-c,Front Walkway Landscaping With Boxwoods,"clearly visible boxwood, neat hedges, or structured shrubs","Create one realistic professional photography image for the exact article title: ""Front Walkway Landscaping With Boxwoods"". Article slug: front-walkway-landscaping-with-boxwoods. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: clearly visible boxwood, neat hedges, or structured shrubs. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, natural morning side light, real plant scale, crisp mulch texture, clean editorial depth. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-landscaping-with-boxwoods-c only, with source_signature manual-batch-04:front-walkway-landscaping-with-boxwoods-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",7
manual-b04-008-front-walkway-lighting-ideas-c,front-walkway-lighting-ideas,Walkway Landscaping Ideas,C,C,front-walkway-lighting-ideas-c,manual-batch-04:front-walkway-lighting-ideas-c,Front Walkway Lighting Ideas,a clearly visible front walkway or entry path,"Create one realistic professional photography image for the exact article title: ""Front Walkway Lighting Ideas"". Article slug: front-walkway-lighting-ideas. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible front walkway or entry path. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, soft bright overcast daylight, realistic stone and soil texture, practical curb appeal. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-lighting-ideas-c only, with source_signature manual-batch-04:front-walkway-lighting-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",8
manual-b04-009-front-walkway-stone-border-ideas-c,front-walkway-stone-border-ideas,Walkway Landscaping Ideas,C,C,front-walkway-stone-border-ideas-c,manual-batch-04:front-walkway-stone-border-ideas-c,Front Walkway Stone Border Ideas,"clearly visible rock, boulder, stone, or gravel landscaping in the front yard","Create one realistic professional photography image for the exact article title: ""Front Walkway Stone Border Ideas"". Article slug: front-walkway-stone-border-ideas. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: clearly visible rock, boulder, stone, or gravel landscaping in the front yard. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, street-level DSLR framing, layered shrubs, clean walkway movement, believable suburban setting. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-stone-border-ideas-c only, with source_signature manual-batch-04:front-walkway-stone-border-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",9
manual-b04-010-front-yard-basalt-rock-landscaping-ideas-c,front-yard-basalt-rock-landscaping-ideas,Front Yard Landscaping With Rocks,C,C,front-yard-basalt-rock-landscaping-ideas-c,manual-batch-04:front-yard-basalt-rock-landscaping-ideas-c,Front Yard Basalt Rock Landscaping Ideas,"clearly visible rock, boulder, stone, or gravel landscaping in the front yard","Create one realistic professional photography image for the exact article title: ""Front Yard Basalt Rock Landscaping Ideas"". Article slug: front-yard-basalt-rock-landscaping-ideas. Category: Front Yard Landscaping With Rocks. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: clearly visible rock, boulder, stone, or gravel landscaping in the front yard. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, front-corner composition, strong foreground landscaping, visible facade context, natural color. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-yard-basalt-rock-landscaping-ideas-c only, with source_signature manual-batch-04:front-yard-basalt-rock-landscaping-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",10
