image_id,article_slug,category,pin_variant,pin_type,pin_id,source_signature,article_title,required_visual_element,exact_prompt,priority
manual-b03-001-front-walkway-border-plants-that-stay-neat-c,front-walkway-border-plants-that-stay-neat,Walkway Landscaping Ideas,C,C,front-walkway-border-plants-that-stay-neat-c,manual-batch-03:front-walkway-border-plants-that-stay-neat-c,Front Walkway Border Plants That Stay Neat,a clearly visible front walkway or entry path,"Create one realistic professional photography image for the exact article title: ""Front Walkway Border Plants That Stay Neat"". Article slug: front-walkway-border-plants-that-stay-neat. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible front walkway or entry path. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with the landscaping element stronger than the architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, diagonal entry composition, natural depth, fresh foreground landscaping rhythm. Keep clean negative space for a later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-border-plants-that-stay-neat-c only, with source_signature manual-batch-03:front-walkway-border-plants-that-stay-neat-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",1
manual-b03-002-front-walkway-flower-bed-ideas-c,front-walkway-flower-bed-ideas,Walkway Landscaping Ideas,C,C,front-walkway-flower-bed-ideas-c,manual-batch-03:front-walkway-flower-bed-ideas-c,Front Walkway Flower Bed Ideas,clearly visible front yard flower beds with real flowers,"Create one realistic professional photography image for the exact article title: ""Front Walkway Flower Bed Ideas"". Article slug: front-walkway-flower-bed-ideas. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: clearly visible front yard flower beds with real flowers. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with the landscaping element stronger than the architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, front-corner perspective, layered shrubs and walkway movement, bright realistic color. Keep clean negative space for a later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-flower-bed-ideas-c only, with source_signature manual-batch-03:front-walkway-flower-bed-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",2
manual-b03-003-front-walkway-ideas-for-cottage-homes-c,front-walkway-ideas-for-cottage-homes,Walkway Landscaping Ideas,C,C,front-walkway-ideas-for-cottage-homes-c,manual-batch-03:front-walkway-ideas-for-cottage-homes-c,Front Walkway Ideas for Cottage Homes,a clearly visible front walkway or entry path,"Create one realistic professional photography image for the exact article title: ""Front Walkway Ideas for Cottage Homes"". Article slug: front-walkway-ideas-for-cottage-homes. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible front walkway or entry path. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with the landscaping element stronger than the architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, three-quarter DSLR angle, strong yard foreground, visible facade context, polished curb appeal. Keep clean negative space for a later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-ideas-for-cottage-homes-c only, with source_signature manual-batch-03:front-walkway-ideas-for-cottage-homes-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",3
manual-b03-004-front-walkway-ideas-for-small-yards-c,front-walkway-ideas-for-small-yards,Walkway Landscaping Ideas,C,C,front-walkway-ideas-for-small-yards-c,manual-batch-03:front-walkway-ideas-for-small-yards-c,Front Walkway Ideas for Small Yards,a clearly visible front yard landscape and USA home exterior matching the article title,"Create one realistic professional photography image for the exact article title: ""Front Walkway Ideas for Small Yards"". Article slug: front-walkway-ideas-for-small-yards. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible front yard landscape and USA home exterior matching the article title. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with the landscaping element stronger than the architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, diagonal entry composition, natural depth, fresh foreground landscaping rhythm. Keep clean negative space for a later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-ideas-for-small-yards-c only, with source_signature manual-batch-03:front-walkway-ideas-for-small-yards-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",4
manual-b03-005-front-walkway-ideas-with-bluestone-pavers-c,front-walkway-ideas-with-bluestone-pavers,Walkway Landscaping Ideas,C,C,front-walkway-ideas-with-bluestone-pavers-c,manual-batch-03:front-walkway-ideas-with-bluestone-pavers-c,Front Walkway Ideas With Bluestone Pavers,a clearly visible front walkway or entry path,"Create one realistic professional photography image for the exact article title: ""Front Walkway Ideas With Bluestone Pavers"". Article slug: front-walkway-ideas-with-bluestone-pavers. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible front walkway or entry path. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with the landscaping element stronger than the architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, front-corner perspective, layered shrubs and walkway movement, bright realistic color. Keep clean negative space for a later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-ideas-with-bluestone-pavers-c only, with source_signature manual-batch-03:front-walkway-ideas-with-bluestone-pavers-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",5
manual-b03-006-front-walkway-ideas-with-boxwood-and-lavender-c,front-walkway-ideas-with-boxwood-and-lavender,Walkway Landscaping Ideas,C,C,front-walkway-ideas-with-boxwood-and-lavender-c,manual-batch-03:front-walkway-ideas-with-boxwood-and-lavender-c,Front Walkway Ideas With Boxwood and Lavender,clearly visible front yard flower beds with real flowers,"Create one realistic professional photography image for the exact article title: ""Front Walkway Ideas With Boxwood and Lavender"". Article slug: front-walkway-ideas-with-boxwood-and-lavender. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: clearly visible front yard flower beds with real flowers. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with the landscaping element stronger than the architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, three-quarter DSLR angle, strong yard foreground, visible facade context, polished curb appeal. Keep clean negative space for a later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-ideas-with-boxwood-and-lavender-c only, with source_signature manual-batch-03:front-walkway-ideas-with-boxwood-and-lavender-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",6
manual-b03-007-front-walkway-ideas-with-brick-and-gravel-c,front-walkway-ideas-with-brick-and-gravel,Walkway Landscaping Ideas,C,C,front-walkway-ideas-with-brick-and-gravel-c,manual-batch-03:front-walkway-ideas-with-brick-and-gravel-c,Front Walkway Ideas With Brick and Gravel,a clearly visible brick walkway or brick path leading through the front yard,"Create one realistic professional photography image for the exact article title: ""Front Walkway Ideas With Brick and Gravel"". Article slug: front-walkway-ideas-with-brick-and-gravel. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible brick walkway or brick path leading through the front yard. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with the landscaping element stronger than the architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, diagonal entry composition, natural depth, fresh foreground landscaping rhythm. Keep clean negative space for a later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-ideas-with-brick-and-gravel-c only, with source_signature manual-batch-03:front-walkway-ideas-with-brick-and-gravel-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",7
manual-b03-008-front-walkway-ideas-with-brick-steps-c,front-walkway-ideas-with-brick-steps,Walkway Landscaping Ideas,C,C,front-walkway-ideas-with-brick-steps-c,manual-batch-03:front-walkway-ideas-with-brick-steps-c,Front Walkway Ideas With Brick Steps,a clearly visible brick walkway or brick path leading through the front yard,"Create one realistic professional photography image for the exact article title: ""Front Walkway Ideas With Brick Steps"". Article slug: front-walkway-ideas-with-brick-steps. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible brick walkway or brick path leading through the front yard. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with the landscaping element stronger than the architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, front-corner perspective, layered shrubs and walkway movement, bright realistic color. Keep clean negative space for a later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-ideas-with-brick-steps-c only, with source_signature manual-batch-03:front-walkway-ideas-with-brick-steps-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",8
manual-b03-009-front-walkway-ideas-with-curved-brick-edging-c,front-walkway-ideas-with-curved-brick-edging,Walkway Landscaping Ideas,C,C,front-walkway-ideas-with-curved-brick-edging-c,manual-batch-03:front-walkway-ideas-with-curved-brick-edging-c,Front Walkway Ideas With Curved Brick Edging,a clearly visible brick walkway or brick path leading through the front yard,"Create one realistic professional photography image for the exact article title: ""Front Walkway Ideas With Curved Brick Edging"". Article slug: front-walkway-ideas-with-curved-brick-edging. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible brick walkway or brick path leading through the front yard. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with the landscaping element stronger than the architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, three-quarter DSLR angle, strong yard foreground, visible facade context, polished curb appeal. Keep clean negative space for a later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-ideas-with-curved-brick-edging-c only, with source_signature manual-batch-03:front-walkway-ideas-with-curved-brick-edging-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",9
manual-b03-010-front-walkway-ideas-with-driveway-connection-c,front-walkway-ideas-with-driveway-connection,Walkway Landscaping Ideas,C,C,front-walkway-ideas-with-driveway-connection-c,manual-batch-03:front-walkway-ideas-with-driveway-connection-c,Front Walkway Ideas With Driveway Connection,driveway or driveway edge visible,"Create one realistic professional photography image for the exact article title: ""Front Walkway Ideas With Driveway Connection"". Article slug: front-walkway-ideas-with-driveway-connection. Category: Walkway Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: driveway or driveway edge visible. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with the landscaping element stronger than the architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, diagonal entry composition, natural depth, fresh foreground landscaping rhythm. Keep clean negative space for a later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-walkway-ideas-with-driveway-connection-c only, with source_signature manual-batch-03:front-walkway-ideas-with-driveway-connection-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",10
